country,varstrat,varunit,btwt0,pred,truth
13,16,1,431.4943202,0.018681293,No
13,16,1,531.1225232,0.000550264,No
13,68,2,369.0421432,0.000174089,No
13,194,1,213.5509027,0.00138749,No
13,60,1,695.8479073,0.001395701,No
13,150,2,222.1558429,0.000227165,No
13,47,2,289.5055822,0.001534463,No
13,232,1,361.2302874,0.000888263,No
13,22,2,295.0679802,0.004290928,No
13,217,1,442.7553513,0.000437387,No
13,250,2,280.6729987,0.009179518,No
13,56,1,322.9474582,0.00096293,No
13,91,1,418.0726514,0.000221548,No
13,15,2,402.2117785,0.000170446,No
13,177,1,403.4187855,0.000287661,No
13,157,2,163.2513671,0.001229162,No
13,157,2,224.1265079,0.000252934,No
13,172,2,579.0383311,0.000504201,No
13,160,2,394.7017088,0.000662006,No
13,222,2,453.5366458,0.002162195,No
13,222,2,431.3029486,0.002406942,No
13,25,2,327.8275568,0.001392386,No
13,208,2,235.8491001,0.001182242,No
13,158,1,280.639791,0.000252934,No
13,143,2,189.2425316,0.000393756,No
13,58,2,618.2321785,0.005577513,No
13,58,2,624.2566814,0.007083838,No
13,124,1,367.1232757,0.001608233,No
13,94,2,527.170554,0.001634618,No
13,7,2,426.2274255,0.008965853,No
13,7,2,518.5502824,0.000917299,No
13,131,1,762.7265468,0.003026299,No
13,220,2,405.2251696,0.000934545,No
13,253,1,329.9847397,0.000748694,No
13,201,1,220.0178457,0.000432337,No
13,108,2,367.0387258,0.000969845,No
13,68,1,411.3872807,0.000578194,No
13,252,2,410.4490737,0.004233246,No
13,219,2,343.7772559,0.000633892,No
13,72,1,347.2864252,0.000270752,No
13,72,1,437.5830747,0.000609583,No
13,190,1,220.3483197,0.002195586,No
13,56,1,366.2883525,0.00099032,No
13,67,1,342.0256732,0.000112164,No
13,222,1,384.0712688,0.002484729,No
13,225,1,473.2493173,0.000943449,No
13,212,2,412.5506465,0.000502192,No
13,160,2,484.6181813,0.001621198,No
13,105,2,459.510554,0.005361397,No
13,129,2,346.1289537,0.00381742,No
13,192,2,225.5317254,0.00043913,No
13,12,2,392.941556,0.000797787,No
13,56,1,301.0562562,0.00124734,No
13,117,1,348.4206598,0.00099032,No
13,117,1,338.3580157,0.001102565,No
13,121,2,447.9679677,0.003027784,No
13,14,1,596.8418422,0.000925765,No
13,104,1,360.7793534,0.000873576,No
13,27,1,449.9457231,0.003145107,No
13,27,1,410.8197062,0.000873576,No
13,27,1,410.8197062,0.001102565,No
13,39,1,335.3097474,0.000858259,No
13,85,2,418.1527847,0.00172208,No
13,85,2,441.3971108,0.001223478,No
13,8,1,385.6969509,0.000768223,No
13,232,2,415.6629651,0.007051131,No
13,171,1,320.6630441,0.001667243,No
13,100,1,409.2127835,0.000941122,No
13,250,1,545.3065107,0.000770866,No
13,196,2,178.9731994,0.000650868,No
13,52,1,315.6073153,0.001511028,No
13,49,1,318.5190673,0.002135018,No
13,191,2,210.1397339,0.001213214,No
13,14,1,379.4972287,0.000370368,No
13,232,1,364.540404,0.00040074,No
13,168,1,357.2839412,0.005839628,No
13,77,2,719.2984446,0.000242551,No
13,91,1,409.5442015,0.001100188,No
13,47,2,375.6266269,0.00099032,No
13,220,2,419.282899,0.002950145,No
13,113,2,472.4894806,0.001102565,No
13,219,2,332.8244334,0.000804841,No
13,162,2,204.3355784,0.000594266,No
13,201,1,205.4419837,0.000574172,No
13,120,2,366.6971696,0.003534974,No
13,139,2,353.0011149,0.001833751,No
13,139,2,371.6487037,0.00099032,No
13,139,2,359.1251732,0.001102565,No
13,9,2,447.0134802,0.000361315,No
13,172,2,452.2364213,0.000734331,No
13,17,1,393.9825776,0.002090915,No
13,238,1,423.711644,0.009668308,No
13,139,1,409.2944588,0.00228721,No
13,44,2,325.6022939,0.013433721,No
13,238,2,398.0609626,0.005395679,No
13,23,2,340.4001439,0.003145107,No
13,23,2,329.7749817,0.000873576,No
13,121,1,309.3099449,0.001417222,Yes
13,33,2,349.548135,0.00346671,No
13,39,1,259.5301492,0.00065348,No
13,121,1,432.9625561,0.002259114,No
13,162,1,279.4136048,0.000336733,No
13,156,1,213.5595939,0.000596738,No
13,96,1,642.4049703,0.001292578,No
13,70,1,505.2844838,0.000307455,No
13,5,2,472.3200812,0.000503041,No
13,23,2,308.4668783,0.000542994,No
13,250,2,342.250166,0.001424434,No
13,191,2,196.5766056,0.00032031,No
13,46,1,260.6504531,0.000899941,No
13,1,2,336.0726758,0.001681555,No
13,137,1,616.0167648,0.000957916,No
13,165,1,287.2695455,0.00029188,No
13,81,1,402.5493417,0.000232959,No
13,187,1,189.2746762,0.000848885,No
13,116,1,377.9895107,0.002834051,No
13,130,1,426.3088179,0.000542994,No
13,57,2,397.4479915,0.001271958,No
13,242,2,480.2950136,0.006282406,No
13,121,2,444.1632913,0.001102565,No
13,157,1,237.3863931,0.001601988,No
13,56,2,357.2568723,0.022185057,No
13,143,1,208.4379055,0.000713258,No
13,27,1,305.4331633,0.002064753,No
13,30,1,371.8647181,0.005558175,No
13,162,2,207.2656299,0.000225068,No
13,42,2,356.8021194,0.001544716,No
13,38,1,324.9956341,0.000873576,No
13,159,1,170.8373043,0.000467666,No
13,159,1,228.7626767,0.00028676,No
13,228,1,358.9590586,0.00053479,No
13,157,2,194.729613,0.000437341,No
13,185,2,370.1538649,0.000552136,No
13,30,2,310.2627125,0.001221706,No
13,51,1,338.4684136,0.004523895,No
13,189,1,183.0237929,0.000548843,No
13,140,1,452.1115442,0.00099032,No
13,21,2,322.6297688,0.000214616,No
13,45,1,372.23167,0.005531109,No
13,45,1,429.2703449,0.010225113,No
13,116,2,353.9736544,0.002050738,No
13,140,2,334.8772844,0.001359631,No
13,15,2,436.8709685,0.000779409,No
13,190,1,207.2989191,0.004971987,No
13,92,1,562.7019115,0.00060318,No
13,24,1,518.0136578,0.001394658,No
13,104,2,319.0785003,0.002396117,No
13,104,2,364.2742953,0.001083237,No
13,20,1,459.3982988,0.000891447,No
13,176,2,338.1291344,0.006936942,No
13,194,1,218.6861694,0.000387337,No
13,246,1,289.8158067,0.0014121,No
13,33,2,399.1689682,0.000719406,No
13,112,1,408.1738116,0.005220747,No
13,38,2,369.1308437,0.001102565,No
13,102,1,391.1902576,0.000493304,No
13,110,2,383.0278601,0.00099032,No
13,197,1,183.0558388,0.000394253,No
13,89,2,415.1026986,0.001633739,No
13,30,2,381.6905837,0.000430171,No
13,134,2,403.113295,0.001467441,No
13,88,2,401.1457652,0.000214255,No
13,56,1,325.4358904,0.002006037,No
13,30,1,360.6311203,0.001102565,No
13,63,2,450.5528984,0.000384483,No
13,165,1,200.0148798,0.000358419,No
13,172,1,326.8061591,0.000485701,No
13,227,2,509.6923289,0.006625982,No
13,147,2,262.1715705,0.000623375,No
13,140,1,430.3852739,0.000407752,No
13,140,1,447.1591592,0.005009867,Yes
13,220,2,388.4351303,0.001156277,No
13,136,1,332.9385065,0.005937809,No
13,110,1,312.0168101,0.00693751,No
13,192,2,203.3174252,0.002288008,No
13,105,2,540.1401048,0.003750682,No
13,245,1,347.2650211,0.003872995,No
13,66,1,366.1710529,0.000110345,No
13,66,2,499.8303033,0.00021022,No
13,205,1,145.4720816,0.000743963,No
13,136,1,366.1229418,0.005424345,No
13,174,2,461.0508052,0.002222505,No
13,62,2,353.0767363,0.000184893,No
13,188,2,187.5264497,0.001808903,No
13,188,2,273.0929911,0.000387337,No
13,43,2,339.3640896,0.002601369,No
13,159,2,201.1750276,0.00111863,No
13,228,1,384.6703189,0.00158396,No
13,130,1,477.4614903,0.002845625,No
13,109,1,761.7655614,0.001221706,No
13,143,1,192.5326703,0.001966881,No
13,31,2,328.1721135,0.00501199,No
13,163,2,448.0851768,0.000252934,No
13,6,2,452.3819967,0.002000845,No
13,67,2,389.9976159,0.000484068,No
13,160,1,209.8071667,0.001206355,No
13,180,2,355.152997,0.000753348,No
13,96,1,512.5669012,0.000601682,No
13,120,1,476.9917484,0.003261356,Yes
13,104,1,386.0449788,0.003058492,No
13,86,1,419.8830721,0.000259593,No
13,38,1,359.964829,0.002641293,No
13,15,2,669.3731524,0.000691145,No
13,96,2,509.4554698,0.000195452,No
13,164,1,192.6387478,0.000498926,No
13,24,2,324.1531321,0.001215884,No
13,127,1,423.1923896,0.008088108,No
13,249,2,445.7195585,0.002425243,No
13,195,2,187.6383831,0.002313123,No
13,184,1,826.2925583,0.000669301,No
13,67,1,347.2864252,8.20E-05,No
13,59,1,414.0021162,0.000998745,No
13,62,2,436.9380418,0.000166529,No
13,54,2,358.1722718,0.00381742,No
13,41,1,316.8572287,0.001611876,No
13,58,2,571.3334365,0.001691965,No
13,172,2,488.4485949,0.000275108,No
13,149,2,316.9879084,0.000742612,No
13,107,2,366.2124021,0.001182557,No
13,146,1,219.5816434,0.001042785,No
13,126,1,364.5569984,0.00144445,No
13,249,1,362.4083758,0.003432996,No
13,24,1,518.0136578,0.001467441,No
13,24,1,522.6406531,0.001318099,No
13,113,1,499.7097408,0.000957916,No
13,149,1,265.6604286,0.000369081,No
13,129,1,364.9155303,0.004828429,No
13,129,1,368.2665916,0.002247366,No
13,29,2,373.7198423,0.001083237,No
13,211,1,386.3411682,0.001918338,No
13,18,2,461.3646241,0.001028219,No
13,167,2,518.5101148,0.000626447,No
13,69,1,336.2635584,6.15E-05,No
13,125,1,354.93229,0.001271958,No
13,109,1,733.8725716,0.000781559,No
13,231,2,406.5014881,0.000943449,No
13,139,2,359.9900102,0.003396284,No
13,13,2,403.2286305,0.001229975,No
13,13,2,618.0653339,0.001148252,No
13,139,2,375.1951419,0.002860491,No
13,201,1,249.3023711,0.001038336,No
13,55,1,428.056818,0.006312185,No
13,137,2,460.1167478,0.001467441,No
13,81,2,347.2864252,0.000278371,No
13,202,2,240.8051593,0.00044697,No
13,215,2,331.6010231,0.001766265,No
13,96,1,395.5431082,0.000136423,No
13,69,2,465.0881117,0.000940352,No
13,42,2,358.1722718,0.001102565,No
13,223,2,454.9426366,0.000561392,No
13,134,1,349.0127774,0.001359631,No
13,219,2,319.0747187,0.000414514,No
13,219,2,382.3271559,0.000633892,No
13,143,2,187.8898429,0.000118115,No
13,91,2,642.8692588,0.000255031,No
13,234,1,358.7931189,0.000528924,No
13,4,1,408.6879544,0.000550264,No
13,171,2,339.2960768,0.001785825,No
13,252,2,414.2150449,0.001790878,No
13,21,1,460.029919,0.000560087,No
13,194,2,196.4536347,0.000603014,No
13,100,1,395.3328305,0.002552758,No
13,240,1,447.3845303,0.001207836,No
13,222,2,431.3029486,0.000633892,No
13,81,1,382.8151917,0.00031934,No
13,4,1,463.1953652,0.006211068,No
13,217,1,406.7687229,0.000888263,No
13,118,2,437.338242,0.003760845,No
13,118,2,1072.666162,0.005064165,No
13,232,2,362.6974523,0.000667302,No
13,27,2,297.1597176,0.004519095,No
13,18,1,377.5815262,0.001154346,No
13,18,1,424.0524749,0.000435931,No
13,128,2,394.5929224,0.008898194,No
13,207,1,196.7624161,0.000714989,No
13,111,2,484.4573642,0.004377344,No
13,233,1,341.0472993,0.000684985,No
13,175,2,417.4721839,0.000384926,No
13,35,1,379.3354753,0.002529083,No
13,35,1,467.8907605,0.001805132,No
13,24,2,317.959492,0.001467441,No
13,208,2,172.7915317,0.000488932,No
13,199,1,312.5535401,0.002645206,No
13,222,2,392.8458661,0.003201604,No
13,118,1,468.8322082,0.003769771,No
13,32,1,321.4890248,0.001102565,No
13,209,2,170.5979975,0.00033649,No
13,18,2,415.3659471,0.000811284,No
13,18,2,433.2650877,0.00361345,No
13,74,2,421.7183579,0.00052458,No
13,181,1,361.2068074,0.000356751,No
13,55,1,383.0970451,0.002275075,No
13,242,2,546.8258431,0.010036642,No
13,195,2,156.9567196,0.000190688,No
13,195,2,194.9159336,0.000621287,No
13,144,2,183.5129028,0.00061431,No
13,22,1,366.5920466,0.001359631,No
13,225,2,422.66438,0.000579496,No
13,143,2,200.1003893,0.000484993,No
13,213,1,318.5182599,0.000550696,No
13,162,1,202.3701184,0.000299471,No
13,90,2,638.1529206,0.000259593,No
13,140,2,361.2664547,0.005483111,No
13,13,1,414.833638,0.000435931,No
13,199,1,264.9205679,0.001200583,No
13,218,1,441.8501265,0.000502192,No
13,59,1,368.0985815,0.000103398,No
13,60,1,667.1008887,0.000230342,No
13,84,1,443.2235816,0.000321934,No
13,169,1,343.6530395,0.000813291,No
13,83,1,438.8410034,0.001107732,No
13,202,1,207.0810032,0.000443283,No
13,151,2,207.0732726,0.000484079,No
13,124,2,428.6991065,0.001147041,No
13,139,1,474.6983481,0.001278613,No
13,3,2,470.1161489,0.001415637,No
13,12,1,504.7376609,0.00069921,No
13,217,1,406.7687229,0.000528924,No
13,38,2,417.0305396,0.002368552,No
13,248,1,542.0914777,0.002810435,No
13,21,1,438.0770138,0.00108757,No
13,138,2,338.6332993,0.004449417,No
13,154,2,368.376105,0.000877574,No
13,37,2,337.3647554,0.001611876,No
13,236,2,364.9240935,0.001179496,No
13,224,1,367.4863542,0.000611319,No
13,8,1,541.4880348,0.004330309,No
13,88,1,704.6681405,0.001507449,No
13,71,1,413.9823549,0.000513869,No
13,116,1,422.9340152,0.002885378,No
13,63,1,406.4512452,0.000446581,No
13,98,2,770.0304964,0.00223775,No
13,82,3,425.8082312,0.000192142,No
13,72,2,407.1403682,0.000320885,No
13,41,1,392.1874752,0.001102565,No
13,56,2,337.142994,0.007886338,No
13,174,2,478.4835024,0.001190622,No
13,187,1,201.8679658,0.001102579,No
13,198,1,198.507767,0.002116203,No
13,198,1,188.7860949,0.008018663,No
13,152,2,189.6097011,0.000389314,No
13,185,1,366.9461528,0.000159827,No
13,131,1,747.0896315,0.003534974,No
13,41,1,341.1948771,0.003152091,No
13,215,2,299.9576259,0.001222019,No
13,192,1,181.0793488,0.001677159,No
13,192,1,208.6917091,0.000535843,No
13,75,1,708.950532,0.000414688,No
13,41,2,353.6348185,0.003231803,No
13,60,1,683.4863788,0.000409109,No
13,23,1,363.23643,0.001408181,No
13,233,2,405.6512026,0.002742298,No
13,233,2,369.4813554,0.002210385,No
13,110,2,345.5470611,0.003152091,No
13,84,2,479.4485859,0.000321934,No
13,164,2,203.0622816,0.000253885,No
13,138,1,376.9604303,0.007006517,No
13,200,2,260.811279,0.000793395,No
13,54,1,313.3495195,0.000913949,No
13,54,1,308.2312628,0.001467441,No
13,175,1,383.1482213,0.000616871,No
13,178,1,456.3115115,0.000221548,No
13,51,1,350.3518832,0.001691965,No
13,78,1,271.4947919,0.000178529,No
13,125,1,326.0007943,0.005653811,No
13,246,1,368.1644686,0.003059063,No
13,131,2,423.6232556,0.001102565,No
13,207,1,204.8442011,0.000714989,No
13,228,1,450.6982419,0.000579496,No
13,11,2,411.6530586,0.007489731,No
13,11,2,485.5716846,0.002327254,No
13,202,2,207.2946557,0.003182299,No
13,153,2,533.4654791,0.000296475,No
13,124,2,346.4371837,0.000540597,No
13,91,2,443.6504406,0.000721454,No
13,91,2,642.1496643,0.000321934,No
13,91,2,550.4011086,0.000321934,No
13,213,2,392.201229,0.000569332,No
13,193,2,156.8538793,0.000425409,No
13,82,2,415.1249731,0.000407413,No
13,45,2,360.6940747,0.002694898,No
13,120,1,393.7215583,0.001805132,No
13,156,2,360.2338022,0.000587616,No
